Date,Tank,Coral ID,Genotype,Treatment ,Picture,AOI,Notes,,,,,
2/11/21,1,H2,A-AC,L,1,3,,,,,,NOTES
2/11/21,1,H36,B-AC,L,1,4,,,,,,FT should not be less than .03
2/11/21,1,H47,C-AC,L,1,2,,,,,,Don’t go over .23
2/11/21,1,H61,Coopers,L,1,5,,,,,,Adjust with gain OR top adjuster on camera
2/11/21,1,H74,Coopers,L,3,1,,,,,,
2/11/21,1,H98,TT,L,1,1,,,,,,
2/11/21,1,H21,B-AC,L,2,1,,,,,,
2/11/21,2,H20,A-AC,H,3,3,,,,,,
2/11/21,2,H35,B-AC,H,2,4,,,,,,
2/11/21,2,H60,C-AC,H,2,2,,,,,,
2/11/21,2,H83,TT,H,2,3,,,,,,
2/11/21,2,H97,TT,H,3,2,,,,,,
2/11/21,2,H73,Coopers,H,2,5,,,,,,
2/11/21,3,H3,A-AC,H,4,2,,,,,,
2/11/21,3,H37,B-AC,H,4,1,,,,,,
2/11/21,3,H49,C-AC,H,4,6,,,,,,
2/11/21,3,H75,Coopers,H,4,4,,,,,,
2/11/21,3,H86,TT,H,4,5,,,,,,
2/11/21,3,H108,Coopers,H,4,3,,,,,,
2/11/21,4,H39,B-AC,H,5,1,,,,,,
2/11/21,4,H64,Coopers,H,5,4,,,,,,
2/11/21,4,H77,Coopers,H,5,3,,,,,,
2/11/21,4,H88,TT,H,5,2,,,,,,
2/11/21,5,H38,B-AC,L,6,1,,,,,,
2/11/21,5,H51,C-AC,L,6,2,,,,,,
2/11/21,5,H63,Coopers,L,6,4,,,,,,
2/11/21,5,H87,TT,L,6,3,,,,,,
2/11/21,6,H104,TT,L,8,1,,,,,,
2/11/21,6,H53,C-AC,L,7,3,,,,,,
2/11/21,6,H65,Coopers,L,8,2,,,,,,
2/11/21,6,H7,A-AC,L,7,1,,,,,,
2/11/21,6,H90,TT,L,7,2,,,,,,
2/11/21,7,H105,TT,H,9,3,,,,,,
2/11/21,7,H14,B-AC,H,9,2,*was listed as H114 but Emma changed to H14,,,,,
2/11/21,7,H79,Coopers,H,9,4,,,,,,
2/11/21,7,H5 ,A-AC,H,9,1,,,,,,
2/11/21,8,H107,Coopers,H,10,1,,,,,,
2/11/21,8,H30,B-AC,H,10,2,,,,,,
2/11/21,8,H68,Coopers,H,10,3,,,,,,
2/11/21,9,H43,C-AC,H,11,4,,,,,,
2/11/21,9,H70,Coopers,H,11,2,,,,,,
2/11/21,9,H81,TT,H,11,3,,,,,,
2/11/21,9,H95,TT,H,11,1,,,,,,
2/11/21,11,H13,A-AC,L,12,2,,,,,,
2/11/21,11,H57,C-AC,L,12,3,,,,,,
2/11/21,11,H93,TT,L,12,1,,,,,,
2/11/21,11,H32,B-AC,L,12,4,,,,,,
