Date,Tank,Coral ID,Genotype,Treatment ,Picture,AOI,Notes,,,,,
2/11/21,12,H19,A-AC,L,13,3,"fat mama aka ""Suzie""",,,,,
2/11/21,12,H33,B-AC,L,13,1,,,,,,
2/11/21,12,H82,TT,L,13,2,,,,,,
2/11/21,12,H96,TT,L,13,4,,,,,,
2/18/21,1,H2,A-AC,L,2,1,,,,,,
2/18/21,1,H36,B-AC,L,1,6,6,,Corrected in bold,,,
2/18/21,1,H47,C-AC,L,1,3,7,,,,,
2/18/21,1,H61,Coopers,L,1,5,4,,,,,
2/18/21,1,H74,Coopers,L,1,1,3,,,,,
2/18/21,1,H98,TT,L,1,4,2,,,,,
2/18/21,1,H21,B-AC,L,1,2,5,,,,,
2/18/21,2,H20,A-AC,H,2,3,,,,,,
2/18/21,2,H35,B-AC,H,2,2,,,,,,
2/18/21,2,H60,C-AC,H,3,2,4,,,Review images 1-4 for coral number placement,,
2/18/21,2,H83,TT,H,2,5,,,,,,
2/18/21,2,H97,TT,H,3,1,2,,,,,
2/18/21,2,H73,Coopers,H,2,4,,,,,,
2/18/21,3,H3,A-AC,H,4,2,2,,,,,
2/18/21,3,H37,B-AC,H,3,5,3,,,,,
2/18/21,3,H49,C-AC,H,3,6,5,,,,,
2/18/21,3,H75,Coopers,H,3,4,1,,,,,
2/18/21,3,H86,TT,H,3,3,6,,,,,
2/18/21,3,H108,Coopers,H,4,1,6,,,,,
2/18/21,4,H39,B-AC,H,4,4,1,,,,,
2/18/21,4,H64,Coopers,H,4,6,4,,,,,
2/18/21,4,H77,Coopers,H,4,3,5,,,,,
2/18/21,4,H88,TT,H,4,5,3,,,,,
2/18/21,5,H38,B-AC,L,5,4,,,,,,
2/18/21,5,H51,C-AC,L,5,2,,,,,,
2/18/21,5,H63,Coopers,L,5,3,,,,,,
2/18/21,5,H87,TT,L,5,1,,,,,,
2/18/21,6,H104,TT,L,5,5,,,,,,
2/18/21,6,H53,C-AC,L,5,6,,,,,,
2/18/21,6,H65,Coopers,L,6,3,,,,,,
2/18/21,6,H7,A-AC,L,6,2,,,,,,
2/18/21,6,H90,TT,L,6,1,,,,,,
2/18/21,7,H105,TT,H,6,6,,,,,,
2/18/21,7,H14,B-AC,H,6,4,,,,,,
2/18/21,7,H79,Coopers,H,7,1,,,,,,
2/18/21,7,H5 ,A-AC,H,6,5,,,,,,
2/18/21,8,H107,Coopers,H,7,4,,,,,,
2/18/21,8,H30,B-AC,H,7,6,,,,,,
2/18/21,8,H68,Coopers,H,7,2,,,,,,
2/18/21,9,H43,C-AC,H,7,5,,,,,,
2/18/21,9,H70,Coopers,H,8,2,,,,,,
2/18/21,9,H81,TT,H,7,3,,,,,,
2/18/21,9,H95,TT,H,8,1,,,,,,
2/18/21,11,H13,A-AC,L,8,6,,,,,,
2/18/21,11,H57,C-AC,L,8,3,,,,,,
2/18/21,11,H93,TT,L,8,4,,,,,,
2/18/21,11,H32,B-AC,L,8,5,,,,,,
2/18/21,12,H19,A-AC,L,9,3,,,,,,
2/18/21,12,H33,B-AC,L,9,2,,,,,,
2/18/21,12,H82,TT,L,9,4,,,,,,
2/18/21,12,H96,TT,L,9,1,,,,,,
2/23/21,1,H2,A-AC,L,2,1,,,,,,
2/23/21,1,H36,B-AC,L,1,1,,,,,,
2/23/21,1,H47,C-AC,L,1,1,,,,,,
2/23/21,1,H61,Coopers,L,1,1,,,,,,
2/23/21,1,H74,Coopers,L,2,2,,,,,,
2/23/21,1,H98,TT,L,1,1,,,,,,
2/23/21,1,H21,B-AC,L,1,1,,,,,,
2/23/21,2,H20,A-AC,H,3,3,,,,,,
2/23/21,2,H35,B-AC,H,3,2,,,,,,
2/23/21,2,H60,C-AC,H,3,1,,,,,,
2/23/21,2,H83,TT,H,4,1,,,,,,
2/23/21,2,H97,TT,H,3,5,,,,,,
2/23/21,2,H73,Coopers,H,3,4,,,,,,
2/23/21,3,H3,A-AC,H,4,2,,,,,,
2/23/21,3,H37,B-AC,H,4,5,,,,,,
2/23/21,3,H49,C-AC,H,4,6,,,,,,
2/23/21,3,H75,Coopers,H,5,1,,,,,,
2/23/21,3,H86,TT,H,4,4,,,,,,
2/23/21,3,H108,Coopers,H,4,3,,,,,,
2/23/21,4,H39,B-AC,H,5,2,,,,,,
2/23/21,4,H64,Coopers,H,5,5,,,,,,
2/23/21,4,H77,Coopers,H,5,3,,,,,,
2/23/21,4,H88,TT,H,5,4,,,,,,
2/23/21,5,H38,B-AC,L,6,1,,,,,,
2/23/21,5,H51,C-AC,L,6,2,,,,,,
2/23/21,5,H63,Coopers,L,6,4,,,,,,
2/23/21,5,H87,TT,L,6,3,,,,,,
2/23/21,6,H104,TT,L,7,2,,,,,,
2/23/21,6,H53,C-AC,L,7,5,,,,,,
2/23/21,6,H65,Coopers,L,7,1,,,,,,
2/23/21,6,H7,A-AC,L,7,4,,,,,,
2/23/21,6,H90,TT,L,7,3,,,,,,
2/23/21,7,H105,TT,H,8,3,,,,,,
2/23/21,7,H14,B-AC,H,8,1,,,,,,
2/23/21,7,H79,Coopers,H,8,4,,,,,,
2/23/21,7,H5 ,A-AC,H,8,2,,,,,,
2/23/21,8,H107,Coopers,H,8,6,,,,,,
2/23/21,8,H30,B-AC,H,8,5,,,,,,
2/23/21,8,H68,Coopers,H,9,1,,,,,,
2/23/21,9,H43,C-AC,H,9,4,,,,,,
2/23/21,9,H70,Coopers,H,9,5,,,,,,
2/23/21,9,H81,TT,H,9,3,,,,,,
2/23/21,9,H95,TT,H,9,2,,,,,,
2/23/21,11,H13,A-AC,L,10,3,,,,,,
2/23/21,11,H57,C-AC,L,10,4,,,,,,
2/23/21,11,H93,TT,L,10,2,,,,,,
2/23/21,11,H32,B-AC,L,10,1,,,,,,
2/23/21,12,H19,A-AC,L,11,2,,,,,,
2/23/21,12,H33,B-AC,L,11,1,,,,,,
2/23/21,12,H82,TT,L,11,3,,,,,,
2/23/21,12,H96,TT,L,11,4,,,,,,
2/25/21,1,H2,A-AC,L,1,2,,,,,,
2/25/21,1,H36,B-AC,L,2,2,,,,,,
2/25/21,1,H47,C-AC,L,2,1,,,,,,
2/25/21,1,H61,Coopers,L,1,5,,,,,,
2/25/21,1,H74,Coopers,L,1,3,,,,,,
2/25/21,1,H98,TT,L,1,1,,,,,,
2/25/21,1,H21,B-AC,L,1,4,,,,,,
2/25/21,2,H20,A-AC,H,3,1,,,,,,
2/25/21,2,H35,B-AC,H,3,2,,,,,,
2/25/21,2,H60,C-AC,H,2,5,,,,,,
2/25/21,2,H83,TT,H,2,3,,,,,,
2/25/21,2,H97,TT,H,2,4,,,,,,
2/25/21,2,H73,Coopers,H,3,3,,,,,,
2/25/21,3,H3,A-AC,H,4,2,,,,,,
2/25/21,3,H37,B-AC,H,4,1,,,,,,
2/25/21,3,H49,C-AC,H,3,6,,,,,,
2/25/21,3,H75,Coopers,H,4,3,,,,,,
2/25/21,3,H86,TT,H,3,4,,,,,,
2/25/21,3,H108,Coopers,H,3,5,,,,,,
2/25/21,4,H39,B-AC,H,4,6,,,,,,
2/25/21,4,H64,Coopers,H,5,1,,,,,,
2/25/21,4,H77,Coopers,H,4,4,,,,,,
2/25/21,4,H88,TT,H,4,5,,,,,,
2/25/21,5,H38,B-AC,L,5,5,,,,,,
2/25/21,5,H51,C-AC,L,5,4,,,,,,
2/25/21,5,H63,Coopers,L,5,3,,,,,,
2/25/21,5,H87,TT,L,5,2,,,,,,
2/25/21,6,H104,TT,L,6,3,,,,,,
2/25/21,6,H53,C-AC,L,6,1,,,,,,
2/25/21,6,H65,Coopers,L,6,5,,,,,,
2/25/21,6,H7,A-AC,L,6,4,,,,,,
2/25/21,6,H90,TT,L,6,2,,,,,,
2/25/21,7,H105,TT,H,7,4,,,,,,
2/25/21,7,H14,B-AC,H,7,3,,,,,,
2/25/21,7,H79,Coopers,H,7,1,,,,,,
2/25/21,7,H5 ,A-AC,H,7,2,,,,,,
2/25/21,8,H107,Coopers,H,7,6,,,,,,
2/25/21,8,H30,B-AC,H,8,1,,,,,,
2/25/21,8,H68,Coopers,H,7,5,,,,,,
2/25/21,9,H43,C-AC,H,8,4,,,,,,
2/25/21,9,H70,Coopers,H,8,2,,,,,,
2/25/21,9,H81,TT,H,8,5,,,,,,
2/25/21,9,H95,TT,H,8,3,,,,,,
2/25/21,11,H13,A-AC,L,9,2,,,,,,
2/25/21,11,H57,C-AC,L,9,1,,,,,,
2/25/21,11,H93,TT,L,9,4,,,,,,
2/25/21,11,H32,B-AC,L,9,3,,,,,,
2/25/21,12,H19,A-AC,L,10,1,,,,,,
2/25/21,12,H33,B-AC,L,10,4,,,,,,
2/25/21,12,H82,TT,L,10,2,,,,,,
2/25/21,12,H96,TT,L,10,3,,,,,,
3/2/21,1,H2,A-AC,L,2,1,,,,,,
3/2/21,1,H36,B-AC,L,1,6,,,,,,
3/2/21,1,H47,C-AC,L,1,3,,,,,,
3/2/21,1,H61,Coopers,L,1,4,,,,,,
3/2/21,1,H74,Coopers,L,1,2,,,,,,
3/2/21,1,H98,TT,L,1,1,,,,,,
3/2/21,1,H21,B-AC,L,1,5,,,,,,
3/2/21,2,H20,A-AC,H,2,2,,,,,,
3/2/21,2,H35,B-AC,H,3,1,,,,,,
3/2/21,2,H60,C-AC,H,2,6,,,,,,
3/2/21,2,H83,TT,H,2,4,,,,,,
3/2/21,2,H97,TT,H,2,3,,,,,,
3/2/21,2,H73,Coopers,H,2,5,,,,,,
3/2/21,3,H3,A-AC,H,3,2,,,,,,
3/2/21,3,H37,B-AC,H,3,3,,,,,,
3/2/21,3,H49,C-AC,H,3,6,,,,,,
3/2/21,3,H75,Coopers,H,3,5,,,,,,
3/2/21,3,H86,TT,H,3,4,,,,,,
3/2/21,3,H108,Coopers,H,4,1,,,,,,
3/2/21,4,H39,B-AC,H,4,4,,,,,,
3/2/21,4,H64,Coopers,H,4,2,,,,,,
3/2/21,4,H77,Coopers,H,4,5,,,,,,
3/2/21,4,H88,TT,H,4,3,,,,,,
3/2/21,5,H38,B-AC,L,5,4,,,,,,
3/2/21,5,H51,C-AC,L,5,2,,,,,,
3/2/21,5,H63,Coopers,L,5,3,,,,,,
3/2/21,5,H87,TT,L,5,1,,,,,,
3/2/21,6,H104,TT,L,6,3,,,,,,
3/2/21,6,H53,C-AC,L,6,2,,,,,,
3/2/21,6,H65,Coopers,L,6,5,,,,,,
3/2/21,6,H7,A-AC,L,6,4,,,,,,
3/2/21,6,H90,TT,L,6,1,,,,,,
3/2/21,7,H105,TT,H,7,2,,,,,,
3/2/21,7,H14,B-AC,H,7,1,,,,,,
3/2/21,7,H79,Coopers,H,7,4,,,,,,
3/2/21,7,H5 ,A-AC,H,7,3,,,,,,
3/2/21,8,H107,Coopers,H,8,2,,,,,,
3/2/21,8,H30,B-AC,H,8,3,,,,,,
3/2/21,8,H68,Coopers,H,8,1,,,,,,
3/2/21,9,H43,C-AC,H,9,2,,,,,,
3/2/21,9,H70,Coopers,H,9,1,,,,,,
3/2/21,9,H81,TT,H,9,4,,,,,,
3/2/21,9,H95,TT,H,9,3,,,,,,
3/2/21,11,H13,A-AC,L,10,3,,,,,,
3/2/21,11,H57,C-AC,L,10,1,,,,,,
3/2/21,11,H93,TT,L,10,4,,,,,,
3/2/21,11,H32,B-AC,L,10,2,,,,,,
3/2/21,12,H19,A-AC,L,11,3,,,,,,
3/2/21,12,H33,B-AC,L,11,4,,,,,,
3/2/21,12,H82,TT,L,11,1,,,,,,
3/2/21,12,H96,TT,L,11,2,,,,,,
3/4/21,1,H2,A-AC,L,1,3,,,,,,
3/4/21,1,H36,B-AC,L,2,1,,,,,,
3/4/21,1,H47,C-AC,L,1,1,,,,,,
3/4/21,1,H61,Coopers,L,1,4,,,,,,
3/4/21,1,H74,Coopers,L,1,5,,,,,,
3/4/21,1,H98,TT,L,1,2,,,,,,
3/4/21,1,H21,B-AC,L,2,2,,,,,,
3/4/21,2,H20,A-AC,H,3,3,,,,,,
3/4/21,2,H35,B-AC,H,3,1,,,,,,
3/4/21,2,H60,C-AC,H,3,2,,,,,,
3/4/21,2,H83,TT,H,3,5,,,,,,
3/4/21,2,H97,TT,H,4,1,,,,,,
3/4/21,2,H73,Coopers,H,3,4,,,,,,
3/4/21,3,H3,A-AC,H,5,1,,,,,,
3/4/21,3,H37,B-AC,H,5,5,,,,,,
3/4/21,3,H49,C-AC,H,5,2,,,,,,
3/4/21,3,H75,Coopers,H,5,4,,,,,,
3/4/21,3,H86,TT,H,5,3,,,,,,
3/4/21,3,H108,Coopers,H,6,1,,,,,,
3/4/21,4,H39,B-AC,H,7,1,,,,,,
3/4/21,4,H64,Coopers,H,7,4,,,,,,
3/4/21,4,H77,Coopers,H,7,2,,,,,,
3/4/21,4,H88,TT,H,7,3,,,,,,
3/4/21,5,H38,B-AC,L,8,1,,,,,,
3/4/21,5,H51,C-AC,L,8,4,,,,,,
3/4/21,5,H63,Coopers,L,8,3,,,,,,
3/4/21,5,H87,TT,L,8,2,,,,,,
3/4/21,6,H104,TT,L,10,3,,,,,,
3/4/21,6,H53,C-AC,L,10,5,,,,,,
3/4/21,6,H65,Coopers,L,10,2,,,,,,
3/4/21,6,H7,A-AC,L,10,1,,,,,,
3/4/21,6,H90,TT,L,10,4,,,,,,
3/4/21,7,H105,TT,H,11,1,,,,,,
3/4/21,7,H14,B-AC,H,11,4,,,,,,
3/4/21,7,H79,Coopers,H,11,3,,,,,,
3/4/21,7,H5 ,A-AC,H,11,2,,,,,,
3/4/21,8,H107,Coopers,H,12,3,,,,,,
3/4/21,8,H30,B-AC,H,12,1,,,,,,
3/4/21,8,H68,Coopers,H,12,2,,,,,,
3/4/21,9,H43,C-AC,H,13,2,,,,,,
3/4/21,9,H70,Coopers,H,13,4,,,,,,
3/4/21,9,H81,TT,H,13,3,,,,,,
3/4/21,9,H95,TT,H,13,1,,,,,,
3/4/21,11,H13,A-AC,L,14,2,,,,,,
3/4/21,11,H57,C-AC,L,14,3,,,,,,
3/4/21,11,H93,TT,L,14,4,,,,,,
3/4/21,11,H32,B-AC,L,14,1,,,,,,
3/4/21,12,H19,A-AC,L,15,4,,,,,,
3/4/21,12,H33,B-AC,L,15,1,,,,,,
3/4/21,12,H82,TT,L,15,3,,,,,,
3/4/21,12,H96,TT,L,15,2,,,,,,
3/9/21,1,H2,A-AC,L,2,1,,,,,,
3/9/21,1,H36,B-AC,L,1,5,,,,,,
3/9/21,1,H47,C-AC,L,1,1,,,,,,
3/9/21,1,H61,Coopers,L,1,4,,,,,,
3/9/21,1,H74,Coopers,L,1,2,,,,,,
3/9/21,1,H98,TT,L,1,3,,,,,,
3/9/21,1,H21,B-AC,L,2,2,,,,,,
3/9/21,2,H20,A-AC,H,3,2,,,,,,
3/9/21,2,H35,B-AC,H,3,1,,,,,,
3/9/21,2,H60,C-AC,H,3,3,,,,,,
3/9/21,2,H83,TT,H,4,1,,,,,,
3/9/21,2,H97,TT,H,3,4,,,,,,
3/9/21,2,H73,Coopers,H,4,2,,,,,,
3/9/21,3,H3,A-AC,H,5,2,,,,,,
3/9/21,3,H37,B-AC,H,5,1,,,,,,
3/9/21,3,H49,C-AC,H,6,2,,,,,,
3/9/21,3,H75,Coopers,H,5,3,,,,,,
3/9/21,3,H86,TT,H,6,1,,,,,,
3/9/21,3,H108,Coopers,H,5,4,,,,,,
3/9/21,4,H39,B-AC,H,7,1,,,,,,
3/9/21,4,H64,Coopers,H,7,2,,,,,,
3/9/21,4,H77,Coopers,H,7,3,,,,,,
3/9/21,4,H88,TT,H,7,4,,,,,,
3/9/21,5,H38,B-AC,L,8,2,,,,,,
3/9/21,5,H51,C-AC,L,8,3,,,,,,
3/9/21,5,H63,Coopers,L,8,1,,,,,,
3/9/21,5,H87,TT,L,8,4,,,,,,
3/9/21,6,H104,TT,L,9,5,,,,,,
3/9/21,6,H53,C-AC,L,9,1,,,,,,
3/9/21,6,H65,Coopers,L,9,4,,,,,,
3/9/21,6,H7,A-AC,L,9,2,,,,,,
3/9/21,6,H90,TT,L,9,3,,,,,,
3/9/21,7,H105,TT,H,10,4,,,,,,
3/9/21,7,H14,B-AC,H,10,1,,,,,,
3/9/21,7,H79,Coopers,H,10,3,,,,,,
3/9/21,7,H5 ,A-AC,H,10,2,,,,,,
3/9/21,8,H107,Coopers,H,11,1,,,,,,
3/9/21,8,H30,B-AC,H,11,3,,,,,,
3/9/21,8,H68,Coopers,H,11,2,,,,,,
3/9/21,9,H43,C-AC,H,12,4,,,,,,
3/9/21,9,H70,Coopers,H,12,1,,,,,,
3/9/21,9,H81,TT,H,12,3,,,,,,
3/9/21,9,H95,TT,H,12,2,,,,,,
3/9/21,11,H13,A-AC,L,13,4,,,,,,
3/9/21,11,H57,C-AC,L,13,2,,,,,,
3/9/21,11,H93,TT,L,13,1,,,,,,
3/9/21,11,H32,B-AC,L,13,3,,,,,,
3/9/21,12,H19,A-AC,L,14,2,,,,,,
3/9/21,12,H33,B-AC,L,14,4,,,,,,
3/9/21,12,H82,TT,L,14,1,,,,,,
3/9/21,12,H96,TT,L,14,3,,,,,,
3/16/21,1,H2,A-AC,L,,,,,,,,
3/16/21,1,H36,B-AC,L,,,,,,,,
3/16/21,1,H47,C-AC,L,,,,,,,,
3/16/21,1,H61,Coopers,L,,,,,,,,
3/16/21,1,H74,Coopers,L,,,,,,,,
3/16/21,1,H98,TT,L,,,,,,,,
3/16/21,1,H21,B-AC,L,,,,,,,,
3/16/21,2,H20,A-AC,H,,,,,,,,
3/16/21,2,H35,B-AC,H,,,,,,,,
3/16/21,2,H60,C-AC,H,,,,,,,,
3/16/21,2,H83,TT,H,,,,,,,,
3/16/21,2,H97,TT,H,,,,,,,,
3/16/21,2,H73,Coopers,H,,,,,,,,
3/16/21,3,H3,A-AC,H,,,,,,,,
3/16/21,3,H37,B-AC,H,,,,,,,,
3/16/21,3,H49,C-AC,H,,,,,,,,
3/16/21,3,H75,Coopers,H,,,,,,,,
3/16/21,3,H86,TT,H,,,,,,,,
3/16/21,3,H108,Coopers,H,,,,,,,,
3/16/21,4,H39,B-AC,H,,,,,,,,
3/16/21,4,H64,Coopers,H,,,,,,,,
3/16/21,4,H77,Coopers,H,,,,,,,,
3/16/21,4,H88,TT,H,,,,,,,,
3/16/21,5,H38,B-AC,L,,,,,,,,
3/16/21,5,H51,C-AC,L,,,,,,,,
3/16/21,5,H63,Coopers,L,,,,,,,,
3/16/21,5,H87,TT,L,,,,,,,,
3/16/21,6,H104,TT,L,,,,,,,,
3/16/21,6,H53,C-AC,L,,,,,,,,
3/16/21,6,H65,Coopers,L,,,,,,,,
3/16/21,6,H7,A-AC,L,,,,,,,,
3/16/21,6,H90,TT,L,,,,,,,,
3/16/21,7,H105,TT,H,1,2,,,,,,
3/16/21,7,H14,B-AC,H,1,1,,,,,,
3/16/21,7,H79,Coopers,H,1,4,,,,,,
3/16/21,7,H5 ,A-AC,H,1,3,,,,,,
3/16/21,8,H107,Coopers,H,3,2,,,,,,
3/16/21,8,H30,B-AC,H,3,1,,,,,,
3/16/21,8,H68,Coopers,H,3,3,,,,,,
3/16/21,9,H43,C-AC,H,5,1,,,,,,
3/16/21,9,H70,Coopers,H,5,4,,,,,,
3/16/21,9,H81,TT,H,5,3,,,,,,
3/16/21,9,H95,TT,H,5,2,,,,,,
3/16/21,11,H13,A-AC,L,2,3,,,,,,
3/16/21,11,H57,C-AC,L,2,4,,,,,,
3/16/21,11,H93,TT,L,2,2,,,,,,
3/16/21,11,H32,B-AC,L,2,1,,,,,,
3/16/21,12,H19,A-AC,L,4,1,,,,,,
3/16/21,12,H33,B-AC,L,4,3,,,,,,
3/16/21,12,H82,TT,L,4,4,,,,,,
3/16/21,12,H96,TT,L,4,2,,,,,,
3/18/21,1,H2,A-AC,L,1,3,,,,,,
3/18/21,1,H36,B-AC,L,2,1,,,,,,
3/18/21,1,H47,C-AC,L,1,4,,,,,,
3/18/21,1,H61,Coopers,L,1,2,,,,,,
3/18/21,1,H74,Coopers,L,1,1,,,,,,
3/18/21,1,H98,TT,L,2,3,,,,,,
3/18/21,1,H21,B-AC,L,2,2,,,,,,
3/18/21,2,H20,A-AC,H,3,3,,,,,,
3/18/21,2,H35,B-AC,H,2,4,,,,,,
3/18/21,2,H60,C-AC,H,3,2,,,,,,
3/18/21,2,H83,TT,H,3,4,,,,,,
3/18/21,2,H97,TT,H,2,5,,,,,,
3/18/21,2,H73,Coopers,H,3,1,,,,,,
3/18/21,3,H3,A-AC,H,4,4,,,,,,
3/18/21,3,H37,B-AC,H,4,5,,,,,,
3/18/21,3,H49,C-AC,H,4,2,,,,,,
3/18/21,3,H75,Coopers,H,4,1,,,,,,
3/18/21,3,H86,TT,H,4,3,,,,,,
3/18/21,3,H108,Coopers,H,3,5,,,,,,
3/18/21,4,H39,B-AC,H,5,2,,,,,,
3/18/21,4,H64,Coopers,H,5,4,,,,,,
3/18/21,4,H77,Coopers,H,5,3,,,,,,
3/18/21,4,H88,TT,H,5,1,,,,,,
3/18/21,5,H38,B-AC,L,6,3,,,,,,
3/18/21,5,H51,C-AC,L,6,4,,,,,,
3/18/21,5,H63,Coopers,L,6,1,,,,,,
3/18/21,5,H87,TT,L,6,2,,,,,,
3/18/21,6,H104,TT,L,7,3,,,,,,
3/18/21,6,H53,C-AC,L,7,5,,,,,,
3/18/21,6,H65,Coopers,L,7,1,,,,,,
3/18/21,6,H7,A-AC,L,7,2,,,,,,
3/18/21,6,H90,TT,L,7,4,,,,,,
3/18/21,7,H105,TT,H,8,1,,,,,,
3/18/21,7,H14,B-AC,H,8,4,,,,,,
3/18/21,7,H79,Coopers,H,8,2,,,,,,
3/18/21,7,H5 ,A-AC,H,8,3,,,,,,
3/18/21,8,H107,Coopers,H,9,2,,,,,,
3/18/21,8,H30,B-AC,H,9,3,,,,,,
3/18/21,8,H68,Coopers,H,9,1,,,,,,
3/18/21,9,H43,C-AC,H,10,1,,,,,,
3/18/21,9,H70,Coopers,H,10,3,,,,,,
3/18/21,9,H81,TT,H,10,4,,,,,,
3/18/21,9,H95,TT,H,10,2,,,,,,
3/18/21,11,H13,A-AC,L,11,3,,,,,,
3/18/21,11,H57,C-AC,L,11,4,,,,,,
3/18/21,11,H93,TT,L,11,2,,,,,,
3/18/21,11,H32,B-AC,L,11,1,,,,,,
3/18/21,12,H19,A-AC,L,12,1,,,,,,
3/18/21,12,H33,B-AC,L,12,3,,,,,,
3/18/21,12,H82,TT,L,12,4,,,,,,
3/18/21,12,H96,TT,L,12,2,,,,,,
